mean_test_score,learning_rate,max_depth,n_estimators
-5.511813658457149,0.15,15,60
-5.498581720255506,0.15,15,63
-5.459972830054745,0.15,15,70
-5.462072704836057,0.15,17,60
-5.444500765249663,0.15,17,63
-5.422308493616294,0.15,17,70
-5.456559848599068,0.15,19,60
-5.457609282216874,0.15,19,63
-5.4509238594515015,0.15,19,70
-5.575865979775951,0.17,15,60
-5.562300297656,0.17,15,63
-5.516034957082963,0.17,15,70
-5.592069955107503,0.17,17,60
-5.576174045019183,0.17,17,63
-5.573890129989107,0.17,17,70
-5.591080166921914,0.17,19,60
-5.589058337459931,0.17,19,63
-5.5774671900293855,0.17,19,70
-5.474988394252269,0.19,15,60
-5.470956026587834,0.19,15,63
-5.431207379526258,0.19,15,70
-5.497073046742517,0.19,17,60
-5.492390816913874,0.19,17,63
-5.479024177990804,0.19,17,70
-5.438648899342239,0.19,19,60
-5.429169884579801,0.19,19,63
-5.42438659481156,0.19,19,70
