item_name,Count,Percentage
Фирменный пакет майка 1С Интерес белый (34*42) 45 мкм,31340,0.010674957754893568
Playstation Store пополнение бумажника: Карта оплаты 1000 руб.,9408,0.003204531032483685
Прием денежных средств для 1С-Онлайн,9067,0.0030883804072629225
"Diablo III [PC, Jewel, русская версия]",7479,0.0025474795484635927
Kaspersky Internet Security Multi-Device Russian Edition. 2-Device 1 year Renewal Box,6853,0.002334252887501137
World of Warcraft. Карта оплаты игрового времени (online) (рус.в.) (60 дней) (Jewel),6602,0.002248757852514593
"Grand Theft Auto V [PS3, русские субтитры]",6475,0.0022054994085174175
"Call of Duty: Black Ops II [PС, Jewel, русская версия]",6320,0.0021527036697807068
"Minecraft [Xbox 360, английская версия]",5811,0.0019793292761227355
"Grand Theft Auto V [Xbox 360, русские субтитры]",5805,0.001977285570107121
"Battlefield 4 [PC, русская версия]",5681,0.0019350489791177526
PlayStation Plus 3-месячная подписка: Карта оплаты,5389,0.0018355886196911755
"Одни из нас [PS3, русская версия]",5283,0.0017994831467486512
Sony PlayStation 4 (500 Gb) Black (CUH-1008A/1108A/B01),5122,0.001744643701996326
X360: Геймпад проводной чёрный - Controller BLACK (S9F-00002: Microsoft),5107,0.0017395344369572896
"Crysis 3 [PC, русская версия]",5056,0.0017221629358245656
"Battlefield 3 [PC, Jewel, русская версия]",4976,0.0016949135222830377
Playstation Store пополнение бумажника: Карта оплаты 2500 руб.,4974,0.0016942322869444994
"Sims 3: Набор для новичков [PC, русская версия]",4904,0.0016703890500956624
"Need for Speed: Most Wanted (a Criterion Game) Limited Edition [PC, русская версия]",4853,0.0016530175489629384
Кабель универсальный HDMI Artplays 2 м (ver. 1.4),4804,0.0016363272831687525
"StarCraft II: Wings of Liberty [PC, Jewel, русская версия]",4675,0.0015923876038330387
"Elder Scrolls V: Skyrim Legendary Edition [PC, Jewel, русская версия]",4615,0.001571950543676893
Kaspersky Internet Security Multi-Device Russian Edition. 2-Device 1 year Base Box,4527,0.001541976188781212
"Counter Strike. Global Offensive [PC, Jewel, русская версия]",4487,0.001528351482010448
X360: Геймпад беспроводной черный - Wireless Controller BLACK (NSF-00002: Microsoft),4380,0.0014919053913986546
"Sims 3 (обновлённое издание) [PC, русская версия]",4324,0.0014728308019195848
"Sims 3: Райские острова (дополнение) [PC, русская версия]",4278,0.0014571623891332065
"Sims 4 [PC, русская версия]",4274,0.00145579991845613
"SimCity [PC, русская версия]",4269,0.0014540968301097845
"Bestseller. Grand Theft Auto: San Andreas [PC, Jewel]",4164,0.001418331974836529
"Bestseller. Sid Meier's Civilization V. Золотое издание [PC, Jewel, русская версия]",4106,0.0013985761500189212
"FIFA 14 [PC, русская версия]",4057,0.0013818858842247355
"Sims 3: Времена года (дополнение) [PC, русская версия]",4006,0.0013645143830920113
PS4: Контроллер игровой беспроводной черный (Dualshock 4 Cont Anthracite Black: CUH-ZCT1: SCEE),3942,0.001342714852258789
"StarCraft II: Heart of the Swarm (дополнение) [PC, Jewel, русская версия]",3881,0.001321937174433374
"Sims 3. Питомцы [PC, русская версия]",3794,0.0012923034372069623
"Игромания. Выбор редакции. Call of Duty: Modern Warfare [PC, Jewel]",3763,0.0012817442894596204
Kinect Rush [только для Kinect] [Xbox 360],3696,0.0012589229056185907
