shop_name,Count,Percentage
"Москва ТЦ ""Семеновский""",235636,0.08026178511589346
"Москва ТРК ""Атриум""",186103,0.06338997010398717
"Химки ТЦ ""Мега""",143479,0.048871482569061084
"Москва ТЦ ""МЕГА Теплый Стан"" II",142234,0.04844741357082106
"Якутск Орджоникидзе, 56",117428,0.03999805166693178
"СПб ТК ""Невский Центр""",109252,0.03721316160298763
"Москва ТЦ ""МЕГА Белая Дача II""",105366,0.035889521340207904
"Воронеж (Плехановская, 13)",82663,0.02815647839479155
"Якутск ТЦ ""Центральный""",71441,0.024334066910253718
"Чехов ТРЦ ""Карнавал""",69573,0.023697793104059037
"Сергиев Посад ТЦ ""7Я""",66321,0.022590104443595927
"Тюмень ТЦ ""Гудвин""",65171,0.022198394123936465
"Курск ТЦ ""Пушкинский""",63911,0.021769215860657398
"Калуга ТРЦ ""XXI век""",59511,0.02027049811587336
"Н.Новгород ТРЦ ""Фантастика""",58445,0.0199073996804325
"Москва МТРЦ ""Афи Молл""",58132,0.019800786349951274
"Воронеж ТРЦ ""Максимир""",58076,0.019781711760472206
"Сургут ТРЦ ""Сити Молл""",56695,0.01931131875921158
"Москва ТЦ ""Ареал"" (Беляево)",53910,0.018362698550297138
"Красноярск ТЦ ""Июнь""",53227,0.018130056682186344
"Москва ТК ""Буденовский"" (пав.К7)",53032,0.01806363623667887
"Уфа ТЦ ""Семья"" 2",52921,0.01802582767539
"Коломна ТЦ ""Рио""",52734,0.017962132171236676
"Москва ТЦ ""Перловский""",50860,0.017323814659026385
"Москва ТЦ ""Новый век"" (Новокосино)",49225,0.01676690476977141
"Омск ТЦ ""Мега""",46013,0.015672840816079062
Москва Магазин С21,45434,0.015475623185572253
"Тюмень ТЦ ""Зеленый Берег""",44433,0.015134664898633885
"Уфа ТК ""Центральный""",43502,0.014817549848544354
"Ярославль ТЦ ""Альтаир""",42108,0.01434272881758323
"РостовНаДону ТЦ ""Мега""",41967,0.014294701726216287
"Новосибирск ТЦ ""Мега""",39638,0.013501403174488554
"Самара ТЦ ""Мелодия""",39530,0.013464616466207491
"СПб ТК ""Сенная""",39282,0.013380143284228754
"Волжский ТЦ ""Волга Молл""",38242,0.013025900908188892
"Вологда ТРЦ ""Мармелад""",38179,0.013004441995024938
"Казань ТЦ ""ПаркХаус"" II",36979,0.01259570079190202
"Самара ТЦ ""ПаркХаус""",35891,0.012225108767737239
Цифровой склад 1С-Онлайн,34769,0.01184293574281731
Интернет-магазин ЧС,34694,0.011817389417622127
"Адыгея ТЦ ""Мега""",25991,0.008852993841973158
"Балашиха ТРК ""Октябрь-Киномир""",25532,0.008696650331778641
"Красноярск ТЦ ""Взлетка Плаза""",22950,0.007817175509725827
"Томск ТРЦ ""Изумрудный Город""",21612,0.007361429068243772
Жуковский ул. Чкалова 39м?,21397,0.007288196269350916
"Казань ТЦ ""Бехетле""",17824,0.0060711693370524246
"Тюмень ТРЦ ""Кристалл""",15849,0.005398449440245953
"РостовНаДону ТРК ""Мегацентр Горизонт""",13440,0.004577901474976693
"!Якутск Орджоникидзе, 56 фран",9857,0.0033574683659855107
"Москва ТЦ ""Серебряный Дом""",7947,0.0027068886176815315
"Москва ТК ""Буденовский"" (пав.А2)",6963,0.0023717208311207377
"Н.Новгород ТРЦ ""РИО""",5752,0.0019592328336358587
"!Якутск ТЦ ""Центральный"" фран",5678,0.0019340271261099452
"Мытищи ТРК ""XL-3""",5027,0.0017122850234157618
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",4257,0.0014500094180785552
Выездная Торговля,3751,0.001277656877428391
"Воронеж ТРЦ Сити-Парк ""Град""",3412,0.0011621874875461665
"Москва ""Распродажа""",1792,0.0006103868633302258
Жуковский ул. Чкалова 39м²,499,0.0001699682169652805
"Новосибирск ТРЦ ""Галерея Новосибирск""",306,0.00010422900679634435
